ID.	Age	Sex	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p17	p18	p19	p20	p21	p22	p23	p24	p25	p26	p27	p28	p29	p30	p31	p32	p33	p34	p35	p36	p37	p38	p39	p40	h1	h2	h3	h4	h5	h6	h7	h8	h9	h10	h11	h12	h13	h14	h15	h16	h17	h18	h19	h20	h21	h22	h23	h24	h25	h26	h27	h28	h29	h30	h31	h32	h33	h34	h35	h36	h37	h38	h39	h40	h41	h42	eA1	eA2	eA3	eA4	eBafallx	eBafallhrs	eBaspringx	eBaspringhrs	eBbfallx	eBbfallhrs	eBbspringx	eBbspringhrs	eBcfallx	eBcfallhrs	eBcspringx	eBcsrpinghrs	eqF
1	22	1	4	4	4	3	5	5	5	4	5	4	5	4	4	4	2	5	4	2	4	3	3	3	1	4	4	5	5	5	5	5	5	5	4	3	5	4	5	5	3	5	5	4	4	3	4	3	1	4	1	2	4	4	4	4	3	2	4	3	4	4	4	3	2	4	2	4	4	2	4	2	4	4	4	2	2	1	4	1	4	1	4	4	1	1	1	1	3	1.5	5	4	3	1.5	5	4	3	1.5	5	4	34.6
2	23	1	1	5	3	4	3	2	3	4	4	2	2	2	3	4	5	3	3	5	4	3	2	1	3	3	3	4	4	4	1	3	2	4	4	2	3	4	2	2	3	3	4	1	4	4	3	4	1	3	2	2	2	2	4	5	5	4	4	2	4	4	4	5	4	4	4	3	4	4	3	3	4	4	4	4	5	2	2	4	2	4	4	4	2	2	1	1	2	4	10	25	0	0	7	8	20	8	30	16	24.8
3	NA	1	4	3	3	3	5	4	3	4	4	3	3	4	3	5	3	4	4	4	5	5	4	3	3	3	4	5	5	5	4	4	4	3	4	3	4	5	3	4	4	4	4	4	3	4	3	4	3	4	3	3	3	2	5	5	5	3	4	3	4	4	4	5	4	4	4	4	4	4	4	4	5	5	3	4	3	3	4	3	4	4	3	4	2	2	1	1	0	0	0	0	2	1	2	1	5	3	5	3	34
4	NA	1	4	5	5	3	5	4	5	5	5	4	4	3	5	5	3	4	5	3	5	4	1	3	4	5	5	5	5	5	5	4	3	5	5	3	5	5	2	2	2	5	5	2	5	5	5	4	1	5	3	2	4	3	5	5	4	4	5	5	3	5	5	5	4	5	5	5	5	3	5	3	5	5	4	4	3	1	5	4	5	4	3	2	1	1	1	1	4	8	6	12	4	8	6	12	4	8	6	12	34.4
5	22	1	4	3	3	1	5	4	4	5	3	2	5	5	3	5	2	4	5	3	5	5	5	2	1	1	5	5	5	5	4	5	3	4	5	1	5	5	4	4	4	5	3	5	3	3	3	3	1	2	3	3	1	2	3	4	4	4	3	1	2	4	4	4	2	3	2	2	4	4	2	3	3	1	1	4	3	1	1	2	2	3	2	3	1	2	1	1	0	0	0	0	1.5	0.65	1.5	0.65	5	1.5	5	1.5	36.6
6	22	1	2	4	5	3	5	5	4	4	3	2	5	4	5	5	1	4	5	4	5	4	1	3	2	2	4	5	4	5	3	5	2	5	5	1	4	5	3	2	3	5	5	5	3	4	4	3	2	4	1	NA	3	1	5	5	5	2	5	3	4	5	5	5	3	4	4	5	4	2	4	2	5	4	4	3	1	1	5	3	5	3	4	2	2	2	1	1	3	6	3	6	0	0	3	6	3	6	6	12	40.8
7	22	1	4	3	4	3	5	5	5	5	4	3	5	4	4	5	3	5	5	3	4	4	4	2	1	2	4	5	4	5	3	5	4	5	4	2	5	4	5	5	3	5	5	4	5	4	5	4	4	4	2	3	4	4	5	4	4	2	4	2	4	5	5	4	2	4	4	5	4	2	4	2	4	4	4	3	2	4	5	3	5	3	4	3	1	1	1	1	3	5	5	8	1	1	4	4	0	0	7	7	39.25
8	22	2	4	2	3	2	5	4	5	4	4	3	4	3	3	2	5	4	2	2	4	3	5	2	3	4	3	2	4	2	4	5	3	4	5	5	2	5	5	5	1	4	4	4	3	2	5	1	1	3	1	3	4	1	5	3	3	1	4	4	3	5	5	3	1	4	3	5	2	1	4	3	4	2	1	2	1	1	5	2	3	4	1	4	1	1	1	1	6	9	6	10	1	1	1	1	1	1	2	2	33.4
9	NA	1	4	4	4	1	5	3	4	4	4	2	5	5	3	4	5	5	4	3	5	4	3	4	2	3	4	4	4	4	5	5	5	5	4	2	5	5	4	4	4	5	4	4	4	5	3	5	2	4	2	3	4	3	5	4	5	2	4	3	4	4	5	5	4	4	2	4	5	3	4	5	4	4	2	4	3	3	4	1	4	3	3	4	2	2	1	1	0	0	0	0	0	0	0	0	5	1.6	3	1.5	39.2
10	NA	2	5	4	5	3	4	4	4	4	3	4	4	4	4	4	2	4	4	4	5	4	4	4	3	3	5	4	4	4	4	4	5	5	4	3	5	4	4	5	3	5	5	5	3	5	5	1	1	5	1	2	5	1	5	5	5	2	5	5	5	5	5	5	1	5	5	5	5	1	5	3	5	5	1	3	1	1	5	5	5	5	2	5	1	1	1	1	7	7	7	7	7	7	7	7	3	3	3	3	36.4
